"","estimate_dau","estimate_mau_lower_bound","estimate_mau_upper_bound","location_unit_type","location_types","location_keys","gender","age_min","age_max","api_call_time_utc"
"1",15313900,17000000,20000000,"countries","home or recent","AR","1","18","65",2024-12-11 00:34:55.782274
"2",61665282,68400000,80500000,"countries","home or recent","BR","1","18","65",2024-12-11 00:34:57.128832
"3",23806328,28400000,33400000,"countries","home or recent","EG","1","18","65",2024-12-11 00:34:57.83654
"4",16852736,18600000,21800000,"countries","home or recent","FR","1","18","65",2024-12-11 00:34:59.171219
"5",16387099,18400000,21600000,"countries","home or recent","DE","1","18","65",2024-12-11 00:34:59.800341
"6",284353281,361300000,425000000,"countries","home or recent","IN","1","18","65",2024-12-11 00:35:00.385032
"7",39038667,44500000,52400000,"countries","home or recent","MX","1","18","65",2024-12-11 00:35:01.001398
"8",9673675,19800000,23300000,"countries","home or recent","NG","1","18","65",2024-12-11 00:35:01.919993
"9",31999986,40900000,48200000,"countries","home or recent","PH","1","18","65",2024-12-11 00:35:03.255225
"10",9268655,9500000,11200000,"countries","home or recent","PL","1","18","65",2024-12-11 00:35:04.38363
"11",8614850,12900000,15200000,"countries","home or recent","ZA","1","18","65",2024-12-11 00:35:05.642677
"12",12569970,14200000,16800000,"countries","home or recent","ES","1","18","65",2024-12-11 00:35:06.641892
"13",32499574,35700000,42100000,"countries","home or recent","TR","1","18","65",2024-12-11 00:35:07.65244
"14",94553021,106800000,125700000,"countries","home or recent","US","1","18","65",2024-12-11 00:35:08.053526
"15",17415549,18400000,21600000,"countries","home or recent","AR","2","18","65",2024-12-11 00:35:08.781703
"16",80780906,82700000,97300000,"countries","home or recent","BR","2","18","65",2024-12-11 00:35:09.393208
"17",16367015,19300000,22700000,"countries","home or recent","EG","2","18","65",2024-12-11 00:35:10.026705
"18",19529202,20900000,24600000,"countries","home or recent","FR","2","18","65",2024-12-11 00:35:10.480754
"19",17906903,19600000,23000000,"countries","home or recent","DE","2","18","65",2024-12-11 00:35:11.231428
"20",104567496,139500000,164100000,"countries","home or recent","IN","2","18","65",2024-12-11 00:35:11.660521
"21",45570810,49200000,57900000,"countries","home or recent","MX","2","18","65",2024-12-11 00:35:12.89625
"22",6106494,14300000,16800000,"countries","home or recent","NG","2","18","65",2024-12-11 00:35:13.594077
"23",37497275,46200000,54300000,"countries","home or recent","PH","2","18","65",2024-12-11 00:35:14.51017
"24",11687460,11200000,13200000,"countries","home or recent","PL","2","18","65",2024-12-11 00:35:15.810904
"25",9838427,13500000,15900000,"countries","home or recent","ZA","2","18","65",2024-12-11 00:35:16.464686
"26",15163009,16100000,18900000,"countries","home or recent","ES","2","18","65",2024-12-11 00:35:17.587587
"27",24144831,27400000,32200000,"countries","home or recent","TR","2","18","65",2024-12-11 00:35:18.902085
"28",120351881,126900000,149300000,"countries","home or recent","US","2","18","65",2024-12-11 00:35:19.324273
