key,origin,category,count
6071248932383,Expats (Algeria),behaviors,1577291
6015559470583,Expats (All),behaviors,270171193
6025000826583,Expats (Argentina),behaviors,2129322
6021354857783,Expats (Australia),behaviors,1466684
6023675997383,Expats (Austria),behaviors,358431
6023356562783,Expats (Bangladesh),behaviors,6196418
6043702804583,Expats (Belgium),behaviors,606398
6019564340583,Expats (Brazil),behaviors,6657754
6018797036783,Expats (Cameroon),behaviors,621595
6019396764183,Expats (Canada),behaviors,2041787
6025054896983,Expats (Chile),behaviors,777393
6019452369983,Expats (China),behaviors,2861664
6019673525983,Expats (Colombia),behaviors,3202891
6023516373983,Expats (Congo DRC),behaviors,3609982
6018797127383,Expats (Cuba),behaviors,1678917
6023676002183,Expats (Cyprus),behaviors,164707
6023287438783,Expats (Czech Republic),behaviors,447969
6023287455983,Expats (Denmark),behaviors,240886
6019673762183,Expats (Dominican Republic),behaviors,2055276
6019673777983,Expats (El Salvador),behaviors,2007285
6023287351383,Expats (Estonia),behaviors,155707
6018797165983,Expats (Ethiopia),behaviors,1569258
6068209522983,Expats (Finland),behaviors,219323
6019367014383,Expats (France),behaviors,5215712
6019367052983,Expats (Germany),behaviors,2768690
6019673448383,Expats (Ghana),behaviors,973665
6023676017583,Expats (Greece),behaviors,10506
6019673808383,Expats (Guatemala),behaviors,1880726
6018797373783,Expats (Haiti),behaviors,1292163
6059793664583,Expats (Honduras),behaviors,1593456
6023676022783,Expats (Hong Kong),behaviors,838529
6019396638383,Expats (Hungary),behaviors,682775
6016916298983,Expats (India),behaviors,15780523
6019564344583,Expats (Indonesia),behaviors,7111467
6019396650783,Expats (Ireland),behaviors,581581
6025000823583,Expats (Israel),behaviors,640582
6019396654583,Expats (Italy),behaviors,3294554
6023422105983,Expats (Ivory Coast),behaviors,724657
6023356956983,Expats (Jamaica),behaviors,1024083
6023676028783,Expats (Japan),behaviors,1556165
6068843912183,Expats (Jordan),behaviors,893081
6025000813183,Expats (KSA),behaviors,1081722
6018796980983,Expats (Kenya),behaviors,999958
6071248981583,Expats (Kuwait),behaviors,198022
6068613839383,Expats (Latvia),behaviors,289811
6068844014183,Expats (Lebanon),behaviors,941510
6023676039183,Expats (Lithuania),behaviors,501644
6023676044383,Expats (Luxembourg),behaviors,64954
6027147160983,Expats (Malaysia),behaviors,2096154
6023676045583,Expats (Malta),behaviors,56396
6023676072183,Expats (Mexico),behaviors,13640138
6023676048183,Expats (Monaco),behaviors,53579
6023516338783,Expats (Morocco),behaviors,2881117
6023356955383,Expats (Nepal),behaviors,3524351
6023287393783,Expats (Netherlands),behaviors,958007
6023516368383,Expats (New Zealand),behaviors,778710
6071248894383,Expats (Nicaragua),behaviors,723960
6018797004183,Expats (Nigeria),behaviors,2742905
6023287459983,Expats (Norway),behaviors,323763
6027149008183,Expats (Peru),behaviors,2091461
6018797091183,Expats (Philippines),behaviors,13118478
6019396657183,Expats (Poland),behaviors,2854044
6021354882783,Expats (Portugal),behaviors,1911827
6019520122583,Expats (Puerto Rico),behaviors,2047699
6071249058983,Expats (Qatar),behaviors,131541
6027148962983,Expats (Romania),behaviors,3843762
6025000815983,Expats (Russia),behaviors,2809277
6025670492783,Expats (Rwanda),behaviors,240248
6023357000583,Expats (Senegal),behaviors,742691
6027149004983,Expats (Serbia),behaviors,1865747
6023356986383,Expats (Sierra Leone),behaviors,197904
6023516403783,Expats (Singapore),behaviors,462860
6023676055383,Expats (Slovakia),behaviors,521852
6023676060183,Expats (Slovenia),behaviors,102373
6019564383383,Expats (South Africa),behaviors,1700501
6027148973583,Expats (South Korea),behaviors,4123984
6019366943583,Expats (Spain),behaviors,2946743
6023516315983,Expats (Sri Lanka),behaviors,1323047
6023287397383,Expats (Sweden),behaviors,522790
6019377644783,Expats (Switzerland),behaviors,527412
6023356926183,Expats (Tanzania),behaviors,872112
6023356966183,Expats (Thailand),behaviors,3627138
6019366994183,Expats (Turkey),behaviors,3093919
6023516430783,Expats (UAE),behaviors,1390464
6019673501783,Expats (Uganda),behaviors,480286
6021354152983,Expats (United Kingdom),behaviors,5736124
6023620475783,Expats (United States),behaviors,19597118
6026404871583,Expats (Venezuela),behaviors,2716066
6027149006383,Expats (Vietnam),behaviors,4473104
6047219032183,Expats (Zambia),behaviors,263404
6019673233983,Expats (Zimbabwe),behaviors,1066735
